captured_image,error_arcmin,error_deg,num_catalog,num_matched,num_raw,qw_est,qw_gt,qx_est,qx_gt,qy_est,qy_gt,qz_est,qz_gt,scenario_filename,status
D:\git repos personal\Cool-Earth\data\captured\Scenario_01.fits,3.8760634086525423,0.0646010568108757,1139,108,699,0.7070728606409816,0.7071067812815203,-0.7044601967521719,-0.704416026280449,0.06151016345060889,0.06162841702453611,-0.0005483877733387932,0.0,Scenario_01.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_02.fits,7.539586658390246,0.12565977763983743,1140,112,691,0.706979797485305,0.7070979426124719,-0.7045049523261114,-0.7044072212452075,0.06194073458123295,0.061627646683766545,0.003960239280360059,0.004999937503162425,Scenario_02.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_03.fits,10.394678487586374,0.1732446414597729,1143,106,578,0.7067073795518559,0.7071630027869114,-0.7044341558730405,-0.7040559747679546,0.06584812250923877,0.06500516812488218,-0.0011065660369737607,0.0,Scenario_03.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_04.fits,7.445777406844344,0.12409629011407239,1130,107,626,0.7086564258017187,0.7093447474142865,-0.7029273055128504,-0.7022154737192381,0.060057046770286796,0.06018989774736327,-0.009613764486850399,-0.010031649624560546,Scenario_04.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_05.fits,2.945658641337598,0.04909431068895997,1135,117,733,0.7070429341479523,0.7070979426124719,-0.704490274683916,-0.7044072212452075,0.0613318111122083,0.061627646683766545,-0.004706494760595078,-0.004999937503162425,Scenario_05.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_06.fits,5.92237307006085,0.09870621783434749,1133,110,690,0.7057900054604687,0.7062018336048592,-0.7060566611551868,-0.7055958291564355,0.05783123847404681,0.05842513235053287,-8.53642732206103e-05,0.0,Scenario_06.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_07.fits,4.865371259347466,0.08108952098912443,1140,104,565,0.7080819505179041,0.7081825306996193,-0.7031085573469604,-0.7030679805503558,0.06525527402695061,0.06459812641808825,-0.00023905627789477097,0.0,Scenario_07.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_08.fits,13.74116738787718,0.22901945646461966,1140,99,556,0.7072599993099926,0.7073059157407551,-0.7043784019164374,-0.7041982598120375,0.05927890716557671,0.06101717876212258,0.010971392570220027,0.010002816190511897,Scenario_08.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_09.fits,4.611964864058947,0.07686608106764911,1134,112,581,0.7069432228683886,0.7073059157407551,-0.7045926872111771,-0.7041982598120375,0.06070828006794758,0.06101717876212258,-0.00974317710912796,-0.010002816190511897,Scenario_09.fits,ok
D:\git repos personal\Cool-Earth\data\captured\Scenario_10.fits,4.6986948358102545,0.07831158059683757,1135,122,624,0.707980294947952,0.7083566279186685,-0.7031251589003861,-0.7027399366503119,0.06602571844240222,0.06611665833060668,0.0044178491240070205,0.00400707020185495,Scenario_10.fits,ok
